Column,Date.and.Time.of.initial.call,Date.and.time.of.Ranger.response,New York,Borough,Property,Location,Species.Description,Species.Description.new,Animal.Class.new,Species.Class 3,Call.Source,Species.Status,Animal.Condition,Duration.of.Response,Age,Animal.Class,X311SR.Number,Final.Ranger.Action,X..of.Animals,PEP.Response,Animal.Monitored,Rehabilitator,Hours.spent.monitoring,Police.Response,ESU.Response,ACC.Intake.Number
1,6/12/19 9:20,6/12/19 9:20,New York,Manhattan,Washington Square Park,on Sidewalk accross from the park near 10 Washington Place,red tailed hawk,red tailed hawk,raptors,,Other,Native,N/A,0.5,Juvenile,raptors,,Advised/Educated others,1,FALSE,FALSE,,NA,FALSE,FALSE,
2,6/11/19 16:15,6/11/19 16:20,New York,Bronx,Van Cortlandt Park,Adjacent to VC Golf House,canada goose,canada goose,birds,,Public,Native,Injured,0.5,Adult,birds,1-1-1733837211,Unfounded,1,FALSE,FALSE,,NA,FALSE,FALSE,
3,6/10/19 13:00,6/10/19 13:30,New York,Brooklyn,Irving Square Park,Northwest corner of the park,parrot,parrot,domestic,,Public,Exotic,N/A,1.5,Adult,domestic,,Unfounded,1,FALSE,FALSE,,NA,FALSE,FALSE,
4,6/9/19 9:30,6/9/19 10:00,New York,Brooklyn,Prospect Park,Prospect Park Parade Grounds near Tennis Center,chicken,chicken,domestic,,Central,Domestic,Healthy,3,Adult,domestic,1-1-1730643971,Animal Care Center,1,FALSE,FALSE,,NA,FALSE,FALSE,65352
5,6/9/19 12:50,6/9/19 12:55,New York,Staten Island,Silver Lake Park,Bridge,red eared slider,red eared slider,terrestrial reptile or amphibian,,Employee,Invasive,Injured,2,Adult,terrestrial reptile or amphibian,1-1-1724490913,Animal Care Center,2,TRUE,FALSE,,NA,FALSE,FALSE,65379 65380
6,6/8/19 11:00,6/8/19 11:15,New York,Manhattan,Washington Square Park,Southeast Section of the park,red tailed hawk,red tailed hawk,raptors,,Public,Native,Healthy,1.5,Juvenile,raptors,,Monitored Animal,1,FALSE,TRUE,,1.5,FALSE,FALSE,
7,6/8/19 8:44,6/8/19 9:20,New York,Manhattan,Tompkins Square Park,Under the nest near Avenue B and East 9th Street,red tailed hawk,red tailed hawk,raptors,,Public,Native,,1.5,Juvenile,raptors,1-1-1727159802,Rehabilitator,1,FALSE,FALSE,Animal Medical Center,NA,FALSE,FALSE,
8,6/6/19 10:00,6/7/19 12:00,New York,Manhattan,Tompkins Square Park,Hawk Nest (Near Avenue B and East 9th Entrance on Ginko Tree),red tailed hawk,red tailed hawk,raptors,,Public,Native,Unhealthy,2,Juvenile,raptors,,Monitored Animal,1,FALSE,TRUE,,1,FALSE,FALSE,
9,6/7/19 15:15,6/8/19 9:30,New York,Queens,Flushing Meadows Corona Park,Tide Gate Bridge,cormorant,cormorant,birds,,Employee,Native,Injured,1.5,Adult,birds,,Unfounded,1,FALSE,FALSE,,NA,FALSE,FALSE,
10,6/7/19 15:15,6/7/19 15:20,New York,Queens,Flushing Meadows Corona Park,Tide Gate Bridge,cormorant,cormorant,birds,,Employee,Native,Injured,2.5,Adult,birds,,Monitored Animal,1,FALSE,TRUE,,0.25,FALSE,FALSE,
